,away_team,away_team_errors,away_team_hits,away_team_runs,date,hits_against,runs_against,away_team_win,home,season_hits_for,season_hits_against,season_runs_for,season_runs_against,season_errors,season_wins
702,Milwaukee Brewers,0,10,6,5/26/16,8,2,1,0,159,199,82,110,17,8
703,St. Louis Cardinals,2,4,6,5/27/16,8,2,1,0,195,168,122,90,24,11
704,Boston Red Sox,0,7,5,5/27/16,11,7,0,0,189,136,89,76,8,11
705,Pittsburgh Pirates,0,14,9,5/27/16,10,1,1,0,215,209,112,113,11,12
706,New York Yankees,0,4,4,5/27/16,4,1,1,0,164,168,69,88,16,9
707,Minnesota Twins,0,10,7,5/27/16,5,2,1,0,182,221,85,131,12,4
708,Detroit Tigers,0,11,4,5/27/16,5,1,1,0,215,206,98,102,12,11
709,Los Angeles Dodgers,0,8,5,5/27/16,9,6,0,0,220,182,120,108,16,12
710,Cincinnati Reds,0,6,5,5/27/16,14,9,0,0,146,185,61,127,21,3
711,Chicago White Sox,0,8,5,5/27/16,13,7,0,0,216,186,109,85,12,14
712,San Francisco Giants,0,7,2,5/27/16,11,5,0,0,186,179,96,88,10,14
713,Baltimore Orioles,0,13,6,5/27/16,10,4,1,0,179,166,88,85,13,9
714,Philadelphia Phillies,1,10,2,5/27/16,10,6,0,0,203,199,94,104,14,13
715,Miami Marlins,0,8,2,5/27/16,14,4,0,0,245,198,103,90,17,15
716,San Diego Padres,1,18,10,5/27/16,6,3,1,0,183,176,93,85,19,9
717,Houston Astros,0,8,2,5/27/16,9,7,0,0,172,216,88,127,12,7
718,St. Louis Cardinals,0,12,9,5/28/16,7,4,1,0,199,176,128,92,26,12
719,Boston Red Sox,3,15,9,5/28/16,13,10,0,0,196,147,94,83,8,11
720,Pittsburgh Pirates,0,7,2,5/28/16,9,5,0,0,229,219,121,114,11,13
721,New York Yankees,0,12,5,5/28/16,13,9,0,0,168,172,73,89,16,10
722,Minnesota Twins,1,11,6,5/28/16,14,5,1,0,192,226,92,133,12,5
723,Detroit Tigers,0,6,3,5/28/16,17,12,0,0,226,211,102,103,12,12
724,Los Angeles Dodgers,0,14,9,5/28/16,3,1,1,0,228,191,125,114,16,12
725,Cincinnati Reds,1,11,7,5/28/16,7,6,1,0,152,199,66,136,21,3
726,Chicago White Sox,0,11,7,5/28/16,12,8,0,0,224,199,114,92,12,14
727,San Francisco Giants,1,16,10,5/28/16,9,5,1,0,193,190,98,93,10,14
728,Baltimore Orioles,4,10,4,5/28/16,13,11,0,0,192,176,94,89,13,10
729,Philadelphia Phillies,0,5,1,5/28/16,8,4,0,0,213,209,96,110,15,13
730,Miami Marlins,2,7,2,5/28/16,6,7,0,0,253,212,105,94,17,15
731,San Diego Padres,1,10,7,5/28/16,10,8,0,0,201,182,103,88,20,10
732,Houston Astros,0,9,4,5/28/16,3,2,1,0,180,225,90,134,12,7
733,Houston Astros,2,14,8,5/29/16,12,6,1,0,189,228,94,136,12,8
734,St. Louis Cardinals,0,9,2,5/29/16,12,10,0,0,211,183,137,96,26,13
735,Boston Red Sox,0,9,5,5/29/16,10,3,1,0,211,160,103,93,11,11
736,Pittsburgh Pirates,1,8,2,5/29/16,7,6,0,0,236,228,123,119,11,13
737,New York Yankees,1,1,2,5/29/16,6,1,1,0,180,185,78,98,16,10
738,Minnesota Twins,0,7,5,5/29/16,7,4,1,0,203,240,98,138,13,6
739,Detroit Tigers,1,5,2,5/29/16,9,4,0,0,232,228,105,115,12,12
740,Los Angeles Dodgers,0,9,4,5/29/16,5,2,1,0,242,194,134,115,16,13
741,Cincinnati Reds,0,9,4,5/29/16,8,5,0,0,163,206,73,142,22,4
742,Chicago White Sox,0,9,4,5/29/16,11,5,0,0,235,211,121,100,12,14
743,San Francisco Giants,1,17,8,5/29/16,8,3,1,0,209,199,108,98,11,15
744,Baltimore Orioles,1,8,6,5/29/16,8,4,1,0,202,189,98,100,17,10
745,Philadelphia Phillies,1,6,2,5/29/16,10,7,0,0,218,217,97,114,15,13
746,Miami Marlins,1,10,7,5/29/16,3,3,1,0,260,218,107,101,19,15
747,San Diego Padres,0,5,3,5/29/16,9,6,0,0,211,192,110,96,21,10
748,New York Yankees,0,5,2,5/30/16,8,4,0,0,181,191,80,99,17,11
749,San Diego Padres,1,9,3,5/30/16,10,9,0,0,216,201,113,102,21,10
750,Washington Nationals,0,5,4,5/30/16,6,3,1,0,213,187,122,71,7,15
751,Minnesota Twins,0,8,2,5/30/16,7,3,0,0,210,247,103,142,13,7
752,Chicago White Sox,0,2,0,5/30/16,7,1,0,0,244,222,125,105,12,14
753,St. Louis Cardinals,2,12,6,5/30/16,5,0,1,0,220,195,139,106,26,13
754,Pittsburgh Pirates,0,14,10,5/30/16,3,0,1,0,244,235,125,125,12,13
755,Tampa Bay Rays,3,5,2,5/30/16,10,6,0,0,203,191,114,94,14,11
756,Cincinnati Reds,0,17,11,5/30/16,11,8,1,0,172,214,77,147,22,4
757,Texas Rangers,0,11,9,5/30/16,11,2,1,0,192,174,87,83,9,11
758,Los Angeles Dodgers,1,1,0,5/30/16,8,2,0,0,251,199,138,117,16,14
759,Boston Red Sox,0,11,7,5/30/16,4,2,1,0,220,170,108,96,11,12
760,San Francisco Giants,1,6,3,5/30/16,6,5,0,0,226,207,116,101,12,16
761,Houston Astros,0,13,8,5/30/16,5,3,1,0,203,240,102,142,14,9
762,Detroit Tigers,1,4,1,5/30/16,6,5,0,0,237,237,107,119,13,12
763,New York Yankees,0,6,1,5/31/16,7,4,0,0,186,199,82,103,17,11
764,San Diego Padres,0,7,4,5/31/16,14,16,0,0,225,211,116,111,22,10
765,Washington Nationals,0,8,5,5/31/16,4,1,1,0,218,193,126,74,7,16
766,Minnesota Twins,1,12,4,5/31/16,12,7,0,0,218,254,105,145,13,7
767,Chicago White Sox,2,8,6,5/31/16,8,4,1,0,246,229,125,106,12,14
768,St. Louis Cardinals,0,14,10,5/31/16,7,3,1,0,232,200,145,106,28,14
769,Pittsburgh Pirates,0,5,1,5/31/16,10,3,0,0,258,238,135,125,12,14
770,Tampa Bay Rays,0,13,5,5/31/16,18,10,0,0,208,201,116,100,17,11
771,Cincinnati Reds,0,7,4,5/31/16,19,17,0,0,189,225,88,155,22,5
772,Texas Rangers,0,11,7,5/31/16,8,3,1,0,203,185,96,85,9,12
773,Los Angeles Dodgers,0,8,5,5/31/16,1,0,1,0,252,207,138,119,17,14
774,Boston Red Sox,0,10,6,5/31/16,7,2,1,0,231,174,115,98,11,13
775,San Francisco Giants,0,5,4,5/31/16,1,0,1,0,232,213,119,106,13,16
776,Houston Astros,1,12,8,5/31/16,9,5,1,0,216,245,110,145,14,10
777,Detroit Tigers,0,8,9,5/31/16,17,11,0,0,241,243,108,124,14,12
778,New York Yankees,2,7,0,6/1/16,12,7,0,0,192,206,83,107,17,11
779,Seattle Mariners,2,14,6,6/1/16,19,14,0,0,235,172,134,81,15,18
780,Washington Nationals,0,12,7,6/1/16,6,2,1,0,226,197,131,75,7,17
781,Minnesota Twins,0,6,1,6/1/16,11,5,0,0,230,266,109,152,14,7
782,Chicago White Sox,0,7,2,6/1/16,7,1,1,0,254,237,131,110,14,15
783,St. Louis Cardinals,0,4,1,6/1/16,6,3,0,0,246,207,155,109,28,15
784,Pittsburgh Pirates,1,4,2,6/1/16,7,3,0,0,263,248,136,128,12,14
785,Tampa Bay Rays,1,9,3,6/1/16,11,6,0,0,221,219,121,110,17,11
786,Arizona Diamondbacks,1,8,4,6/1/16,9,5,0,0,246,229,113,106,21,14
787,Cincinnati Reds,1,10,7,6/1/16,7,2,1,0,196,244,92,172,22,5
788,Texas Rangers,0,8,4,6/1/16,10,5,0,0,214,193,103,88,9,13
789,Los Angeles Dodgers,0,4,1,6/1/16,3,2,0,0,260,208,143,119,17,15
790,Boston Red Sox,1,15,9,6/1/16,14,13,0,0,241,181,121,100,11,14
791,San Francisco Giants,0,8,4,6/1/16,7,5,0,0,237,214,123,106,13,17
792,Detroit Tigers,0,11,3,6/1/16,2,0,1,0,249,260,117,135,14,12
793,Arizona Diamondbacks,1,7,3,6/2/16,5,0,1,0,254,238,117,111,22,14
794,New York Yankees,1,8,5,6/2/16,11,4,1,0,199,218,83,114,19,11
795,Cincinnati Reds,0,14,11,6/2/16,5,4,1,0,206,251,99,174,23,6
796,Kansas City Royals,3,12,4,6/2/16,11,5,0,0,247,204,97,109,13,11
797,Los Angeles Dodgers,1,3,2,6/2/16,10,7,0,0,264,211,144,121,17,15
798,Boston Red Sox,0,12,7,6/2/16,11,12,0,0,256,195,130,113,12,14
799,San Francisco Giants,1,8,6,6/2/16,4,0,1,0,245,221,127,111,13,17
800,Seattle Mariners,1,16,16,6/2/16,20,13,1,0,249,191,140,95,17,18
801,Milwaukee Brewers,1,12,4,6/2/16,5,1,1,0,169,207,88,112,17,9
802,Tampa Bay Rays,0,9,4,6/2/16,15,6,0,0,230,230,124,116,18,11
803,Pittsburgh Pirates,1,4,3,6/2/16,7,4,0,0,267,255,138,131,13,14
804,Seattle Mariners,0,9,3,6/3/16,13,7,0,0,265,211,156,108,18,19
805,San Francisco Giants,1,8,5,6/3/16,5,1,1,0,253,225,133,111,14,18
806,Colorado Rockies,2,2,0,6/3/16,4,4,0,0,250,229,126,110,11,14
807,Los Angeles Angels of Anaheim,0,15,9,6/3/16,8,2,1,0,225,213,103,105,12,12
808,Milwaukee Brewers,0,5,3,6/3/16,7,6,0,0,181,212,92,113,18,10
809,Tampa Bay Rays,0,7,4,6/3/16,8,2,1,0,239,245,128,122,18,11
810,New York Mets,1,10,6,6/3/16,7,2,1,0,211,217,104,81,9,14
811,Atlanta Braves,0,7,2,6/3/16,5,4,0,0,188,207,79,106,13,10
812,Oakland Athletics,0,9,2,6/3/16,16,12,0,0,233,238,109,149,17,12
813,Chicago White Sox,0,7,3,6/3/16,14,10,0,0,261,244,133,111,14,16
814,Kansas City Royals,1,3,1,6/3/16,8,6,0,0,259,215,101,114,16,11
815,Washington Nationals,0,7,2,6/3/16,12,7,0,0,238,203,138,77,7,18
816,Arizona Diamondbacks,2,6,0,6/3/16,7,6,0,0,261,243,120,111,23,15
817,Toronto Blue Jays,0,7,5,6/3/16,5,2,1,0,212,191,108,86,12,15
818,New York Yankees,0,10,5,6/3/16,11,6,0,0,207,229,88,118,20,12
819,San Francisco Giants,0,6,4,6/4/16,12,7,0,0,261,230,138,112,15,19
820,Seattle Mariners,0,11,4,6/4/16,14,10,0,0,274,224,159,115,18,19
821,Colorado Rockies,0,9,3,6/4/16,12,4,0,0,252,233,126,114,13,14
822,Los Angeles Angels of Anaheim,1,11,7,6/4/16,10,8,0,0,240,221,112,107,12,13
823,Milwaukee Brewers,2,10,6,6/4/16,7,3,1,0,186,219,95,119,18,10
824,Tampa Bay Rays,2,11,7,6/4/16,11,4,1,0,246,253,132,124,18,12
825,New York Mets,1,15,6,6/4/16,9,4,1,0,221,224,110,83,10,15
826,Atlanta Braves,0,5,0,6/4/16,6,4,0,0,195,212,81,110,13,10
827,Oakland Athletics,0,12,5,6/4/16,10,6,0,0,242,254,111,161,17,12
828,Chicago White Sox,1,9,4,6/4/16,11,7,0,0,268,258,136,121,14,16
829,Kansas City Royals,0,7,1,6/4/16,12,7,0,0,262,223,102,120,17,11
830,Washington Nationals,2,3,3,6/4/16,7,6,0,0,245,215,140,84,7,18
831,Arizona Diamondbacks,1,4,3,6/4/16,7,5,0,0,267,250,120,117,25,15
832,Toronto Blue Jays,0,4,4,6/4/16,11,6,0,0,219,196,113,88,12,16
833,New York Yankees,0,16,8,6/4/16,8,6,1,0,217,240,93,124,20,12
834,Seattle Mariners,2,3,2,6/5/16,5,3,0,0,285,238,163,125,18,19
835,San Francisco Giants,1,6,3,6/5/16,10,6,0,0,267,242,142,119,15,19
836,Colorado Rockies,0,10,10,6/5/16,6,3,1,0,261,245,129,118,13,14
837,Los Angeles Angels of Anaheim,0,9,5,6/5/16,9,4,1,0,251,231,119,115,13,13
838,Milwaukee Brewers,1,11,1,6/5/16,13,8,0,0,196,226,101,122,20,11
839,Tampa Bay Rays,1,10,7,6/5/16,9,5,1,0,257,264,139,128,20,13
840,New York Mets,0,4,0,6/5/16,5,1,0,0,236,233,116,87,11,16
841,Atlanta Braves,1,12,6,6/5/16,14,12,0,0,200,218,81,114,13,10
842,Oakland Athletics,3,8,2,6/5/16,9,5,0,0,254,264,116,167,17,12
843,Chicago White Sox,0,5,2,6/5/16,12,5,0,0,277,269,140,128,15,16
844,Kansas City Royals,0,3,0,6/5/16,9,7,0,0,269,235,103,127,17,11
845,Washington Nationals,1,14,10,6/5/16,12,9,1,0,248,222,143,90,9,18
846,Arizona Diamondbacks,0,10,3,6/5/16,5,2,1,0,271,257,123,122,26,15
847,Toronto Blue Jays,0,4,5,6/5/16,6,4,1,0,223,207,117,94,12,16
848,New York Yankees,1,10,1,6/5/16,6,3,0,0,233,248,101,130,20,13
849,Houston Astros,1,9,5,6/6/16,12,6,0,0,228,254,118,150,15,11
850,Cleveland Indians,0,5,3,6/6/16,5,1,1,0,211,189,111,94,16,14
851,Atlanta Braves,1,9,2,6/6/16,11,7,0,0,212,232,87,126,14,10
852,Chicago Cubs,0,13,6,6/6/16,9,4,1,0,241,163,152,72,11,17
853,Los Angeles Angels of Anaheim,0,6,2,6/6/16,9,5,0,0,260,240,124,119,13,14
854,Colorado Rockies,0,9,6,6/6/16,1,1,1,0,271,251,139,121,13,15
855,Toronto Blue Jays,1,3,0,6/6/16,15,11,0,0,227,213,122,98,12,17
856,Kansas City Royals,1,5,1,6/6/16,7,4,0,0,272,244,103,134,17,11
857,Tampa Bay Rays,0,10,6,6/6/16,7,4,1,0,267,273,146,133,21,14
858,Houston Astros,1,6,3,6/7/16,10,4,0,0,237,266,123,156,16,11
859,Boston Red Sox,0,9,5,6/7/16,7,3,1,0,268,206,137,125,12,14
860,Cleveland Indians,0,6,1,6/7/16,11,7,0,0,216,194,114,95,16,15
861,Atlanta Braves,0,7,3,6/7/16,9,4,0,0,221,243,89,133,15,10
862,New York Mets,1,4,1,6/7/16,10,3,0,0,240,238,116,88,11,16
863,New York Mets,0,5,1,6/7/16,10,3,0,0,244,248,117,91,12,16
864,Chicago Cubs,0,6,2,6/7/16,6,3,0,0,254,172,158,76,11,18
865,Los Angeles Angels of Anaheim,2,5,3,6/7/16,10,6,0,0,266,249,126,124,13,14
866,Miami Marlins,0,10,4,6/7/16,7,6,0,0,270,221,114,104,20,16
867,Oakland Athletics,0,5,4,6/7/16,6,5,0,0,262,273,118,172,20,12
868,Colorado Rockies,0,9,3,6/7/16,5,4,0,0,280,252,145,122,13,16
869,Toronto Blue Jays,0,5,2,6/7/16,6,3,0,0,230,228,122,109,13,17
870,St. Louis Cardinals,0,10,6,6/7/16,12,7,0,0,250,213,156,112,28,15
871,Washington Nationals,0,12,10,6/7/16,7,5,1,0,262,234,153,99,10,19
872,Kansas City Royals,0,10,1,6/7/16,11,9,0,0,277,251,104,138,18,11
873,Tampa Bay Rays,0,3,0,6/7/16,8,5,0,0,277,280,152,137,21,15
874,Houston Astros,1,7,3,6/8/16,10,1,1,0,243,276,126,160,17,11
875,Boston Red Sox,0,5,1,6/8/16,3,2,0,0,277,213,142,128,12,15
876,Cleveland Indians,0,3,0,6/8/16,7,5,0,0,222,205,115,102,16,15
877,Atlanta Braves,0,14,4,6/8/16,5,2,1,0,228,252,92,137,15,10
878,New York Mets,2,11,6,6/8/16,10,5,1,0,249,258,118,94,12,16
879,Chicago Cubs,0,13,8,6/8/16,3,1,1,0,260,178,160,79,11,18
880,Los Angeles Angels of Anaheim,2,14,6,6/8/16,17,12,0,0,271,259,129,130,15,14
881,Miami Marlins,0,14,5,6/8/16,14,7,0,0,280,228,118,110,20,16
882,Oakland Athletics,0,3,0,6/8/16,9,4,0,0,267,279,122,177,20,12
883,Colorado Rockies,1,6,1,6/8/16,4,0,1,0,289,257,148,126,13,16
884,Toronto Blue Jays,0,9,7,6/8/16,9,2,1,0,235,234,124,112,13,17
885,St. Louis Cardinals,1,15,12,6/8/16,15,7,1,0,260,225,162,119,28,15
886,Washington Nationals,0,18,11,6/8/16,9,4,1,0,274,241,163,104,10,20
887,Kansas City Royals,0,9,0,6/8/16,4,4,0,0,287,262,105,147,18,11
888,Tampa Bay Rays,0,10,6,6/8/16,10,3,1,0,280,288,152,142,21,15
889,Baltimore Orioles,0,11,6,6/9/16,8,5,1,0,210,197,104,104,18,11
890,Houston Astros,0,7,3,6/9/16,8,5,0,0,250,286,129,161,18,12
891,Cleveland Indians,0,7,5,6/9/16,13,3,1,0,225,212,115,107,16,15
892,Los Angeles Angels of Anaheim,0,8,3,6/9/16,11,6,0,0,285,276,135,142,17,14
893,Miami Marlins,0,18,10,6/9/16,7,3,1,0,294,242,123,117,20,16
894,New York Mets,1,13,5,6/9/16,10,2,1,0,260,268,124,99,14,17
895,Pittsburgh Pirates,0,7,5,6/9/16,14,11,0,0,271,262,141,135,14,14
896,St. Louis Cardinals,0,8,3,6/9/16,4,2,1,0,275,240,174,126,29,16
897,Washington Nationals,0,5,1,6/9/16,5,3,0,0,292,250,174,108,10,21
898,Philadelphia Phillies,0,6,6,6/10/16,11,9,0,0,224,227,99,121,16,13
899,Baltimore Orioles,1,4,3,6/10/16,10,4,0,0,221,205,110,109,18,12
900,Houston Astros,0,11,3,6/10/16,8,4,0,0,257,294,132,166,18,12
901,Los Angeles Dodgers,1,5,3,6/10/16,6,2,1,0,267,221,146,128,18,15
902,Texas Rangers,3,10,5,6/10/16,7,7,0,0,222,203,107,93,9,13
903,St. Louis Cardinals,0,9,9,6/10/16,8,3,1,0,283,244,177,128,29,17
904,Detroit Tigers,1,6,0,6/10/16,7,4,0,0,260,262,120,135,14,13
905,Boston Red Sox,1,16,8,6/10/16,8,1,1,0,282,216,143,130,12,15
906,New York Mets,1,10,2,6/10/16,3,1,1,0,273,278,129,101,15,18
907,San Diego Padres,2,9,7,6/10/16,9,5,1,0,232,225,120,127,22,10
908,Oakland Athletics,0,9,1,6/10/16,5,2,0,0,270,288,122,181,20,12
909,Kansas City Royals,0,12,5,6/10/16,12,7,0,0,296,266,105,151,18,11
910,Chicago Cubs,1,4,1,6/10/16,12,5,0,0,273,181,168,80,11,19
911,Miami Marlins,1,9,8,6/10/16,13,6,1,0,312,249,133,120,20,17
912,Cleveland Indians,0,10,6,6/10/16,3,2,1,0,232,225,120,110,16,16
913,Philadelphia Phillies,0,7,0,6/11/16,13,8,0,0,230,238,105,130,16,13
914,Baltimore Orioles,0,12,6,6/11/16,13,11,0,0,225,215,113,113,19,12
915,Houston Astros,0,7,4,6/11/16,6,3,1,0,268,302,135,170,18,12
916,Los Angeles Dodgers,0,11,4,6/11/16,7,5,0,0,272,227,149,130,19,16
917,Texas Rangers,1,10,2,6/11/16,6,1,1,0,232,210,112,100,12,13
918,St. Louis Cardinals,0,8,5,6/11/16,6,1,1,0,292,252,186,131,29,18
919,Detroit Tigers,1,10,6,6/11/16,6,1,1,0,266,269,120,139,15,13
920,Boston Red Sox,0,15,15,6/11/16,7,4,1,0,298,224,151,131,13,16
921,New York Mets,0,7,4,6/11/16,8,7,0,0,283,281,131,102,16,19
922,San Diego Padres,0,7,3,6/11/16,10,5,0,0,241,234,127,132,24,11
923,Oakland Athletics,0,7,1,6/11/16,6,2,0,0,279,293,123,183,20,12
924,Kansas City Royals,0,9,4,6/11/16,5,1,1,0,308,278,110,158,18,11
925,Chicago Cubs,3,13,8,6/11/16,5,2,1,0,277,193,169,85,12,19
926,Miami Marlins,0,9,3,6/11/16,7,5,0,0,321,262,141,126,21,18
927,Cleveland Indians,2,7,3,6/11/16,11,4,0,0,242,228,126,112,16,17
928,Chicago Cubs,4,16,13,6/12/16,7,2,1,0,290,198,177,87,15,20
929,Philadelphia Phillies,1,7,4,6/12/16,8,5,0,0,237,251,105,138,16,13
930,Baltimore Orioles,1,13,9,6/12/16,14,10,0,0,237,228,119,124,19,12
931,Houston Astros,1,2,0,6/12/16,9,5,0,0,275,308,139,173,18,13
932,Los Angeles Dodgers,1,6,1,6/12/16,5,2,0,0,283,234,153,135,19,16
933,Texas Rangers,0,7,6,6/12/16,9,4,1,0,242,216,114,101,13,14
934,St. Louis Cardinals,1,14,8,6/12/16,6,3,1,0,300,258,191,132,29,19
935,Detroit Tigers,0,9,4,6/12/16,4,1,1,0,276,275,126,140,16,14
936,Boston Red Sox,2,7,4,6/12/16,7,7,0,0,313,231,166,135,13,17
937,New York Mets,3,7,3,6/12/16,9,5,0,0,290,289,135,109,16,19
938,San Diego Padres,1,8,1,6/12/16,4,2,0,0,248,244,130,137,24,11
939,Oakland Athletics,0,15,6,6/12/16,7,1,1,0,286,299,124,185,20,12
940,Kansas City Royals,1,11,3,6/12/16,5,1,1,0,317,283,114,159,18,12
941,Miami Marlins,1,3,0,6/12/16,12,6,0,0,330,269,144,131,21,18
942,Cleveland Indians,1,11,8,6/12/16,7,3,1,0,249,239,129,116,18,17
943,Chicago Cubs,2,2,1,6/13/16,10,4,0,0,306,205,190,89,19,21
944,Philadelphia Phillies,0,9,7,6/13/16,6,0,1,0,244,259,109,143,17,13
945,Milwaukee Brewers,1,11,5,6/13/16,14,11,0,0,207,239,102,130,21,11
946,Miami Marlins,0,19,13,6/13/16,7,4,1,0,333,281,144,137,22,18
947,Texas Rangers,1,9,5,6/13/16,17,14,0,0,249,225,120,105,13,15
948,Cleveland Indians,0,4,1,6/13/16,11,2,0,0,260,246,137,119,19,18
949,Detroit Tigers,0,14,9,6/13/16,16,10,0,0,285,279,130,141,16,15
950,Cincinnati Reds,1,9,9,6/13/16,10,8,1,0,220,256,110,178,23,7
951,Los Angeles Dodgers,0,7,2,6/13/16,6,3,0,0,289,239,154,137,20,16
952,Minnesota Twins,1,10,9,6/13/16,8,4,1,0,236,277,110,157,14,7
953,Chicago Cubs,0,7,4,6/14/16,5,3,1,0,308,215,191,93,21,21
954,Philadelphia Phillies,2,7,3,6/14/16,14,11,0,0,253,265,116,143,17,14
955,Seattle Mariners,1,10,7,6/14/16,10,8,0,0,288,243,165,128,20,19
956,Houston Astros,0,9,5,6/14/16,5,2,1,0,277,317,139,178,19,13
957,Milwaukee Brewers,0,4,2,6/14/16,12,3,0,0,218,253,107,141,22,11
958,Miami Marlins,0,6,5,6/14/16,7,2,1,0,352,288,157,141,22,19
959,Texas Rangers,0,13,10,6/14/16,11,6,1,0,258,242,125,119,14,15
960,Pittsburgh Pirates,0,7,4,6/14/16,3,0,1,0,278,276,146,146,14,14
961,Cleveland Indians,0,9,2,6/14/16,9,3,0,0,264,257,138,121,19,18
962,New York Yankees,1,15,10,6/14/16,15,13,0,0,243,254,102,133,21,13
963,Detroit Tigers,3,16,11,6/14/16,11,8,1,0,299,295,139,151,16,15
964,Baltimore Orioles,0,5,3,6/14/16,7,2,1,0,250,242,128,134,20,12
965,Cincinnati Reds,0,3,3,6/14/16,5,1,1,0,229,266,119,186,24,8
966,Los Angeles Dodgers,1,9,7,6/14/16,9,4,1,0,296,245,156,140,20,16
967,Minnesota Twins,0,10,4,6/14/16,12,5,0,0,246,285,119,161,15,8
968,Chicago Cubs,0,11,4,6/15/16,9,5,0,0,315,220,195,96,21,22
969,Seattle Mariners,2,8,2,6/15/16,8,3,0,0,298,253,172,136,21,19
970,Houston Astros,0,9,4,6/15/16,8,1,1,0,286,322,144,180,19,14
971,Milwaukee Brewers,4,8,1,6/15/16,16,10,0,0,222,265,109,144,22,11
972,Miami Marlins,0,9,3,6/15/16,13,6,0,0,358,295,162,143,22,20
973,Toronto Blue Jays,0,9,7,6/15/16,6,2,1,0,244,243,131,114,13,18
974,Texas Rangers,2,10,7,6/15/16,7,5,1,0,271,253,135,125,14,16
975,Pittsburgh Pirates,0,5,2,6/15/16,19,11,0,0,285,279,150,146,14,15
976,Cleveland Indians,3,5,4,6/15/16,10,9,0,0,273,266,140,124,19,18
977,New York Yankees,0,7,3,6/15/16,13,6,0,0,258,269,112,146,22,13
978,Detroit Tigers,0,8,3,6/15/16,9,5,0,0,315,306,150,159,19,16
979,Baltimore Orioles,0,8,4,6/15/16,13,6,0,0,255,249,131,136,20,13
980,Cincinnati Reds,2,11,8,6/15/16,19,9,0,0,232,271,122,187,24,9
981,Los Angeles Dodgers,2,7,3,6/15/16,5,2,1,0,305,254,163,144,21,17
982,Minnesota Twins,1,5,2,6/15/16,12,10,0,0,256,297,123,166,15,8
983,Detroit Tigers,0,13,10,6/16/16,10,4,1,0,323,315,153,164,19,16
984,Baltimore Orioles,0,11,5,6/16/16,4,1,1,0,263,262,135,142,20,13
985,Cincinnati Reds,1,8,2,6/16/16,9,7,0,0,243,290,130,196,26,9
986,Seattle Mariners,0,13,6,6/16/16,12,4,1,0,306,261,174,139,23,19
987,Washington Nationals,1,9,8,6/16/16,10,5,1,0,297,255,175,111,10,21
988,Toronto Blue Jays,1,17,13,6/16/16,5,2,1,0,253,249,138,116,13,19
989,Texas Rangers,0,9,5,6/16/16,2,1,1,0,281,260,142,130,16,17
990,Pittsburgh Pirates,0,10,4,6/16/16,11,6,0,0,290,298,152,157,14,15
991,New York Yankees,1,7,4,6/16/16,7,1,1,0,265,282,115,152,22,13
992,Milwaukee Brewers,2,10,8,6/16/16,8,6,1,0,230,281,110,154,26,11
993,San Francisco Giants,0,7,5,6/17/16,4,1,1,0,273,252,145,125,16,19
994,Texas Rangers,0,6,1,6/17/16,3,0,1,0,290,262,147,131,16,18
995,Washington Nationals,0,11,7,6/17/16,9,5,1,0,306,265,183,116,11,22
996,Arizona Diamondbacks,0,16,10,6/17/16,7,2,1,0,281,262,126,124,26,16
997,Los Angeles Angels of Anaheim,1,6,2,6/17/16,10,3,0,0,293,287,138,148,17,14
998,Atlanta Braves,0,11,5,6/17/16,6,1,1,0,242,257,96,139,15,11
999,New York Yankees,1,14,8,6/17/16,9,2,1,0,272,289,119,153,23,14
1000,Colorado Rockies,0,1,1,6/17/16,9,5,0,0,295,261,149,126,14,17
1001,Milwaukee Brewers,1,12,2,6/17/16,8,3,0,0,240,289,118,160,28,12
1002,Detroit Tigers,0,10,3,6/17/16,14,10,0,0,336,325,163,168,19,17
1003,Cincinnati Reds,1,11,4,6/17/16,8,2,1,0,251,299,132,203,27,9
1004,Chicago White Sox,0,7,2,6/17/16,8,3,0,0,282,281,142,133,15,16
1005,Pittsburgh Pirates,0,3,0,6/17/16,9,6,0,0,300,309,156,163,14,15
1006,Seattle Mariners,1,10,8,6/17/16,11,4,1,0,319,273,180,143,23,20
1007,Toronto Blue Jays,1,13,13,6/17/16,7,3,1,0,270,254,151,118,14,20
1008,Los Angeles Angels of Anaheim,0,13,7,6/18/16,5,1,1,0,299,297,140,151,18,14
1009,San Francisco Giants,2,11,6,6/18/16,8,4,1,0,280,256,150,126,16,20
1010,Texas Rangers,1,9,4,6/18/16,7,3,1,0,296,265,148,131,16,19
1011,Washington Nationals,1,8,3,6/18/16,9,7,0,0,317,274,190,121,11,23
1012,Arizona Diamondbacks,0,11,4,6/18/16,4,1,1,0,297,269,136,126,26,17
1013,Atlanta Braves,1,7,4,6/18/16,7,3,1,0,253,263,101,140,15,12
1014,New York Yankees,1,12,7,6/18/16,9,6,1,0,286,298,127,155,24,15
1015,Colorado Rockies,0,8,6,6/18/16,17,9,0,0,296,270,150,131,14,17
1016,Milwaukee Brewers,0,11,6,6/18/16,14,10,0,0,252,297,120,163,29,12
1017,Detroit Tigers,1,10,5,6/18/16,21,16,0,0,346,339,166,178,19,17
1018,Cincinnati Reds,0,9,4,6/18/16,13,5,0,0,262,307,136,205,28,10
1019,Chicago White Sox,1,7,2,6/18/16,15,13,0,0,289,289,144,136,15,16
1020,Pittsburgh Pirates,0,8,3,6/18/16,6,4,0,0,303,318,156,169,14,15
